Model,Class,Precision,Recall,mAP@50,mAP@50-95,F1-Score
YOLOv8n @ 640,Longitudinal crack,0.6265444027564387,0.5398726114649681,0.5697680944754042,0.31128506371730313,0.5799878924892372
YOLOv8n @ 640,Transverse crack,0.5936643589980023,0.5407953905076562,0.5521011843483656,0.2687420575386644,0.5659974556099893
YOLOv8n @ 640,Alligator crack,0.6697266999369789,0.6083279115159401,0.6673602134094943,0.3511688158074275,0.6375519828843275
YOLOv8n @ 640,Other corruption,0.6520756056872573,0.7385003150598614,0.7375299959079479,0.4594972019180033,0.6926018015373959
YOLOv8n @ 640,Pothole,0.6309817631734421,0.41324921135646686,0.473718220398863,0.21040458509173576,0.4994153068893015
YOLOv8s @ 640,Longitudinal crack,0.6325780465245396,0.5770700636942675,0.5982936299985122,0.3308276922846702,0.6035499890269517
YOLOv8s @ 640,Transverse crack,0.6064339411362412,0.5785074626865672,0.5825785768674333,0.2897939094057538,0.5921411191665028
YOLOv8s @ 640,Alligator crack,0.6956446630573144,0.6543127907351495,0.695168898766863,0.367276691672828,0.6743454949540538
YOLOv8s @ 640,Other corruption,0.6832667280983931,0.7605545053560177,0.757518477166852,0.4799440553286165,0.7198415100892079
YOLOv8s @ 640,Pothole,0.6541963578407196,0.47528916929547843,0.5381392612390927,0.24324655709045614,0.5505730896367738
YOLOv8s @ 1024,Longitudinal crack,0.6453465807876632,0.6017834394904459,0.6238380478058024,0.3402133675179798,0.6228036649480424
YOLOv8s @ 1024,Transverse crack,0.6104420155641628,0.5659701492537313,0.581746476639226,0.2785273029413721,0.5873649989509921
YOLOv8s @ 1024,Alligator crack,0.6819605550105564,0.620039037085231,0.6775117912982248,0.3487462455382015,0.6495268411179753
YOLOv8s @ 1024,Other corruption,0.6849090321269207,0.7555135475740391,0.7614084981239864,0.46598868617749617,0.7184803969053862
YOLOv8s @ 1024,Pothole,0.6586390975414752,0.4585236395109885,0.5394637175662731,0.24303853966277517,0.5406577140173817
